ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
610,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/2/2015","11","988","0",,,,,,,
611,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/2/2015","14","936","9",,,,,,,
612,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/2/2015","14","732","3",,,,,,,
613,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/7/2015",,,,"Counted samples after 2 week incubation ",,,,,,
614,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/7/2015",,,,,,,,,,
615,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/7/2015",,,,,,,,,,
616,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/7/2015","10","748","18",,,,,,,
617,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/7/2015","13","680","NCDC",,,,,,,
618,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/7/2015","5","540","NCDC",,,,,,,
619,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/7/2015",,,,,,,,,,
620,"R3","Waddell Canal","cap","waddell canal","12/7/2015","5","712","0",,,,,,,
621,"R25","verde river at beeline highway","verde","verde @ beeline","12/7/2015","32",,"NCDC",,,,,,,
622,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/7/2015",,,,,,,,,,
623,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/7/2015",,,,,,,,,,
624,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/7/2015","8","608","2",,,,,,,
625,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/7/2015",,,,,,,,,,
626,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/4/2016","5","252",,"Counted samples after 2 week incubation ",,,,,,
627,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/4/2016",,,,,,,,,,
628,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/4/2016","89","256",,,,,,,,
629,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/4/2016","6","380",,,,,,,,
630,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/4/2016","100","296",,,,,,,,
631,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/4/2016","52","428",,,,,,,,
632,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/4/2016","3","580",,,,,,,,
633,"R3","Waddell Canal","cap","waddell canal","1/4/2016",,,,,,,,,,
634,"R25","verde river at beeline highway","verde","verde @ beeline","1/4/2016","37","232",,,,,,,,
635,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/4/2016","24","172",,,,,,,,
636,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/4/2016","9","380",,,,,,,,
637,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/4/2016","16","300",,,,,,,,
638,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/4/2016","19","496",,,,,,,,
639,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/1/2016","2","168","1","Counted samples after 2 week incubation ",,,,,,
640,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/1/2016","22","140","NCDC",,,,,,,
641,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/1/2016",,,,,,,,,,
642,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/1/2016","6","452","0",,,,,,,
643,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/1/2016","24","184","5",,,,,,,
644,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/1/2016","13","368","4",,,,,,,
645,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/1/2016",,,,,,,,,,
646,"R3","Waddell Canal","cap","waddell canal","2/1/2016","1","180","0",,,,,,,
647,"R25","verde river at beeline highway","verde","verde @ beeline","2/1/2016","70","152","1",,,,,,,
648,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/1/2016","24","304","NCDC",,,,,,,
649,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/1/2016","9","256","3",,,,,,,
650,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/1/2016","7","436","5",,,,,,,
651,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/1/2016","8","296","3",,,,,,,
652,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/7/2016","9","388","17","Counted samples after 2 week incubation ",,,,,,
653,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/7/2016",,,,,,,,,,
654,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/7/2016","6","980","0",,,,,,,
655,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/7/2016","23","624","4",,,,,,,
656,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","3/7/2016","72","544","19",,,,,,,
657,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","3/7/2016","6","688","3",,,,,,,
658,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","3/7/2016","8","412","1",,,,,,,
659,"R3","Waddell Canal","cap","waddell canal","3/7/2016","2","476","0",,,,,,,
660,"R25","verde river at beeline highway","verde","verde @ beeline","3/7/2016","22","648","14",,,,,,,
661,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","3/7/2016","28","684","28",,,,,,,
662,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","3/7/2016","16","648","0",,,,,,,
663,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","3/7/2016","13","656","25",,,,,,,
664,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/7/2016","20","664","5",,,,,,,
665,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/4/2016","11","928","41","Counted samples after 2 week incubation ",,,,,,
666,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","4/4/2016","22","1040","NCDC",,,,,,,
667,"R11","CAP Canal at Cross-connect","cap","cap @ x con","4/4/2016","1","2132","12",,,,,,,
668,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","4/4/2016","10","852","6",,,,,,,
669,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","4/4/2016","15","1288","5",,,,,,,
670,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","4/4/2016","2","732","4",,,,,,,
671,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","4/4/2016","18","1324","5",,,,,,,
672,"R3","Waddell Canal","cap","waddell canal","4/4/2016","2","356","4",,,,,,,
673,"R25","verde river at beeline highway","verde","verde @ beeline","4/4/2016","35","700","NCDC",,,,,,,
674,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","4/4/2016","13","1220","14",,,,,,,
675,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","4/4/2016","21","868","29",,,,,,,
676,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","4/4/2016","27","928","4",,,,,,,
677,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","4/4/2016","28","864","24",,,,,,,
678,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/2/2016","7","1868","6","Counted samples after 2 week incubation ",,,,,,
679,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/2/2016","6","792","24",,,,,,,
680,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/2/2016","9","448","0",,,,,,,
681,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/2/2016","29","684","4",,,,,,,
682,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/2/2016","44","508","1",,,,,,,
683,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/2/2016","6","852","3",,,,,,,
684,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/2/2016","6","784","10",,,,,,,
685,"R3","Waddell Canal","cap","waddell canal","5/2/2016","6","1360","0",,,,,,,
686,"R25","verde river at beeline highway","verde","verde @ beeline","5/2/2016","840","308","30",,,,,,,
687,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/2/2016","6","636","7",,,,,,,
688,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","5/2/2016","42","692","2",,,,,,,
689,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","5/2/2016","40","700","5",,,,,,,
690,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","5/2/2016","27","576","2",,,,,,,
691,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/6/2016","5","2008",,"Counted samples after 2 week incubation ",,,,,,
692,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/6/2016","10","1936",,,,,,,,
693,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/6/2016","17","1300",,,,,,,,
694,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/6/2016","15","1340",,,,,,,,
695,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/6/2016","91","1100",,,,,,,,
696,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/6/2016","2","648",,,,,,,,
697,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/6/2016","6","1704",,,,,,,,
698,"R3","Waddell Canal","cap","waddell canal","6/6/2016","0","660",,,,,,,,
699,"R25","verde river at beeline highway","verde","verde @ beeline","6/6/2016","1","1312",,,,,,,,
700,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/6/2016","17","1684",,,,,,,,
701,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/6/2016","8","1528",,,,,,,,
702,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/6/2016","15","1748",,,,,,,,
703,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/6/2016","10","1776",,,,,,,,
704,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","7/11/2016",,,,,,,,,,
705,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","7/11/2016",,,,,,,,,,
706,"R11","CAP Canal at Cross-connect","cap","cap @ x con","7/11/2016",,,,,,,,,,
707,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","7/11/2016",,,,,,,,,,
708,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","7/11/2016",,,,,,,,,,
709,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","7/11/2016",,,,,,,,,,
710,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","7/11/2016",,,,,,,,,,
711,"R3","Waddell Canal","cap","waddell canal","7/11/2016",,,,,,,,,,
712,"R25","verde river at beeline highway","verde","verde @ beeline","7/11/2016",,,,,,,,,,
713,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","7/11/2016",,,,,,,,,,
714,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","7/11/2016",,,,,,,,,,
715,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","7/11/2016",,,,,,,,,,
716,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","7/11/2016",,,,,,,,,,
717,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/1/2016",,,,,,,,,,
718,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/1/2016",,,,,,,,,,
719,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/1/2016",,,,,,,,,,
720,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/1/2016",,,,,,,,,,
721,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/1/2016",,,,,,,,,,
722,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/1/2016",,,,,,,,,,
723,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/1/2016",,,,,,,,,,
724,"R3","Waddell Canal","cap","waddell canal","8/1/2016",,,,,,,,,,
725,"R25","verde river at beeline highway","verde","verde @ beeline","8/1/2016",,,,,,,,,,
726,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/1/2016",,,,,,,,,,
727,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/1/2016",,,,,,,,,,
728,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/1/2016",,,,,,,,,,
729,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/1/2016",,,,,,,,,,
730,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","9/12/2016","13","1728","1","Counted samples after 2 week incubation ",,,,,,
731,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","9/12/2016","28","832","0",,,,,,,
732,"R11","CAP Canal at Cross-connect","cap","cap @ x con","9/12/2016","23","2112","0",,,,,,,
733,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","9/12/2016","6","1168","2",,,,,,,
734,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","9/12/2016","33","928","1",,,,,,,
735,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","9/12/2016","11","1184","9",,,,,,,
736,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","9/12/2016","18","1832","15",,,,,,,
737,"R3","Waddell Canal","cap","waddell canal","9/12/2016","0","440","0",,,,,,,
738,"R25","verde river at beeline highway","verde","verde @ beeline","9/12/2016","92","1304","NCDC",,,,,,,
739,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","9/12/2016","31","1832","1",,,,,,,
740,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","9/12/2016","44","1072","4",,,,,,,
741,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","9/12/2016","17","1048","2",,,,,,,
742,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","9/12/2016","34","936","4",,,,,,,
743,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/3/2016","11","1136","2","Counted samples after 2 week incubation ",,,,,,
744,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/3/2016","48","1176","1",,,,,,,
745,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/3/2016","16","752","2",,,,,,,
746,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/3/2016","10","1200","2",,,,,,,
747,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/3/2016","43","922","2",,,,,,,
748,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/3/2016","0","1328","3",,,,,,,
749,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/3/2016","22","984","4",,,,,,,
750,"R3","Waddell Canal","cap","waddell canal","10/3/2016","8","1304","2",,,,,,,
751,"R25","verde river at beeline highway","verde","verde @ beeline","10/3/2016","28","1168","NCDC",,,,,,,
752,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/3/2016","33","888","3",,,,,,,
753,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/3/2016","38","760","1",,,,,,,
754,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/3/2016","7","1144","1",,,,,,,
755,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/3/2016","34","968","0",,,,,,,
756,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/7/2016","10","1368",,"Counted samples after 2 week incubation ",,,,,,
757,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/7/2016","69","760",,,,,,,,
758,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/7/2016","1","1288",,,,,,,,
759,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/7/2016","6","872",,,,,,,,
760,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/7/2016","43","832",,,,,,,,
761,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/7/2016","2","1432",,,,,,,,
762,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/7/2016","3","1424",,,,,,,,
763,"R3","Waddell Canal","cap","waddell canal","11/7/2016","11","1184",,,,,,,,
764,"R25","verde river at beeline highway","verde","verde @ beeline","11/7/2016","55","952",,,,,,,,
765,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/7/2016","27","1544",,,,,,,,
766,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/7/2016","38","760",,,,,,,,
767,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/7/2016","32","1168",,,,,,,,
768,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/7/2016","34","1064",,,,,,,,
769,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/5/2016",,,"11","Counted samples after 2 week incubation ",,,,,,
770,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/5/2016",,,"39",,,,,,,
771,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/5/2016",,,"0",,,,,,,
772,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/5/2016",,,"6",,,,,,,
773,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/5/2016",,,"7",,,,,,,
774,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/5/2016",,,"3",,,,,,,
775,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/5/2016",,,"9",,,,,,,
776,"R3","Waddell Canal","cap","waddell canal","12/5/2016",,,"0",,,,,,,
777,"R25","verde river at beeline highway","verde","verde @ beeline","12/5/2016",,,"NCDC",,,,,,,
778,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/5/2016",,,"NCDC",,,,,,,
779,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/5/2016",,,"0",,,,,,,
780,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/5/2016",,,"0",,,,,,,
781,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/5/2016",,,"N/A",,,,,,,
782,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/2/2017","3","576","2","Counted samples after 2 week incubation ",,,,,,
783,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/2/2017",,,,,,,,,,
784,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/2/2017","22","888","0",,,,,,,
785,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/2/2017","25","744","0",,,,,,,
786,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/2/2017","54","800","0",,,,,,,
787,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/2/2017","1","944","3",,,,,,,
788,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/2/2017","19","1048","0",,,,,,,
789,"R3","Waddell Canal","cap","waddell canal","1/2/2017","2","968","0",,,,,,,
790,"R25","verde river at beeline highway","verde","verde @ beeline","1/2/2017","41","696","88",,,,,,,
791,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/2/2017","43","928","14",,,,,,,
792,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/2/2017","94","640","100",,,,,,,
793,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/2/2017","15","648","0",,,,,,,
794,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/2/2017",,,"96",,,,,,,
795,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/6/2017","9","752","22","Counted samples after 2 week incubation ",,,,,,
796,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/6/2017",,,,,,,,,,
797,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/6/2017",,,,,,,,,,
798,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/6/2017","36","784","6",,,,,,,
799,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/6/2017","66","1184","3",,,,,,,
800,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/6/2017","6","1128","4",,,,,,,
801,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/6/2017","4","1032","3",,,,,,,
802,"R3","Waddell Canal","cap","waddell canal","2/6/2017","1","336","2",,,,,,,
803,"R25","verde river at beeline highway","verde","verde @ beeline","2/6/2017","19","912","NCDC",,,,,,,
804,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/6/2017","14","904","NCDC",,,,,,,
805,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/6/2017","8","1336","14",,,,,,,
806,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/6/2017","49","1072","9",,,,,,,
807,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/6/2017","7","1016","3",,,,,,,
808,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/6/2017",,,,"Counted samples after 2 week incubation ",,,,,,
809,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/6/2017","33","856","NCDC",,,,,,,
810,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/6/2017",,,,,,,,,,
811,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/6/2017","16","1280","13",,,,,,,
812,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","3/6/2017","170","536","5",,,,,,,
813,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","3/6/2017","13","848","18",,,,,,,
814,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","3/6/2017",,,,,,,,,,
815,"R3","Waddell Canal","cap","waddell canal","3/6/2017","1","312","0",,,,,,,
816,"R25","verde river at beeline highway","verde","verde @ beeline","3/6/2017","9","808","23",,,,,,,
817,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","3/6/2017",,,,,,,,,,
818,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","3/6/2017","19","1024","NCDC",,,,,,,
819,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","3/6/2017","25","1080","NCDC",,,,,,,
820,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/6/2017","12","912","15",,,,,,,
821,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/3/2017","10","912","57","Counted samples after 2 week incubation ",,,,,,
822,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","4/3/2017","12","800","NCDC",,,,,,,
823,"R11","CAP Canal at Cross-connect","cap","cap @ x con","4/3/2017","8","1124","6",,,,,,,
824,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","4/3/2017","16","712","29",,,,,,,
825,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","4/3/2017","37","984","92",,,,,,,
826,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","4/3/2017","1","904","58",,,,,,,
827,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","4/3/2017","11","1336","36",,,,,,,
828,"R3","Waddell Canal","cap","waddell canal","4/3/2017","0","952","0",,,,,,,
829,"R25","verde river at beeline highway","verde","verde @ beeline","4/3/2017","12","1304","55",,,,,,,
830,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","4/3/2017","13","992","29",,,,,,,
831,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","4/3/2017","9","1128","61",,,,,,,
832,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","4/3/2017","21","1000","NCDC",,,,,,,
833,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","4/3/2017","5","1232","31",,,,,,,
834,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/1/2017","7","952","87","Counted samples after 2 week incubation ",,,,,,
835,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/1/2017","26","896","43",,,,,,,
836,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/1/2017","12","1344","0",,,,,,,
837,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/1/2017","7","968","83",,,,,,,
838,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/1/2017","339","456","99",,,,,,,
839,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/1/2017","19","888","33",,,,,,,
840,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/1/2017","16","1480","37",,,,,,,
841,"R3","Waddell Canal","cap","waddell canal","5/1/2017","4","1392","70",,,,,,,
842,"R25","verde river at beeline highway","verde","verde @ beeline","5/1/2017","10","1208","70",,,,,,,
843,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/1/2017","18","1072","NCDC",,,,,,,
