ID,Site Name,Site Location,Cluster Name,Site Acronym,Date,Mib(ng/L),Geosmin(ng/L),TP (ug/L),DOC (mg/L),UVA(cm-1),Suva(L/mg-m),Conductance(us/cm),TDN (mg/L)
2,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",2/15/2012,1.1,.79,62,3.8,.03,.8,1102,.3
3,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/15/2012,12.76,13.87,28,4.6,.03,.7,1095,.5
4,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",2/15/2012,8.40,9.68,21.6,3.9,.03,.8,1097,.4
5,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/15/2012,25.2,2,15.6,4.4,.03,.7,1096,.5
6,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",2/15/2012,.54,.79,62,5.5,.03,.8,1102,.3
7,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/15/2012,6.5,0,14,3.8,.03,.8,1114,.3
8,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",2/15/2012,.7,1,10,5.5,.06,1.2,1202,.4
9,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/15/2012,.6,1,18,3.9,.03,.8,1101,.4
10,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",2/15/2012,1.0,1.3,16.8,3.7,.03,.8,1387,.3
11,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/15/2012,1.64,1.11,7.2,3.6,.03,.8,1393,.3
12,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",2/15/2012,.86,1.44,5.2,3.6,.03,.8,1352,.3
13,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",2/15/2012,1.0,1.1,10,3.7,.8,1.0,1491,.4
14,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",5/16/2012,2.2,0,14.6,4.5,.1,1.7,1005,.5
15,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",5/16/2012,3.9,4.7,14.4,6.5,.1,1.2,1009,1.1
16,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",5/16/2012,,,11.4,3.9,.1,1.8,1009,.4
17,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",5/16/2012,,,13.8,3.8,.1,1.8,1007,.4
18,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",5/16/2012,4.5,4.2,28.2,6.3,.1,1.2,993,.6
19,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",5/16/2012,,,19,4.0,.1,1.7,1007,.4
20,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",5/16/2012,2.9,0,11.8,4.1,.1,1.7,,.3
21,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",5/16/2012,,,9,3.8,.1,1.8,,.4
22,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",5/16/2012,,,,4.6,,,1235,
23,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",5/16/2012,,,,,,,1255,
24,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",5/16/2012,,,,,,,1229,
25,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",5/16/2012,1.0,1.1,10,3.7,.03,.8,1491,.4
63,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",8/15/2012,24.2,0,30,4,0.07,1.7,1199,0.4
64,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",8/15/2012,14.7,0,40,4.12,0.07,1.6,1204,0.45
65,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",8/15/2012,25.2,2,30,4.09,0.07,1.7,1204,0.31
66,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",8/15/2012,14.3,0,30,3.63,0.06,1.7,1209,0.38
67,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",8/15/2012,6.5,0,20,5.48,0.06,1.1,1203,0.42
68,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",8/15/2012,0,0,20,4.04,0.07,1.6,1265,0.44
69,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",8/15/2012,2.8,0,10,5.46,0.06,1.2,1202,0.37
70,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",8/15/2012,0,0,10,4.19,0.07,1.6,1206,0.41
71,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",8/15/2012,35.4,0,20,4.44,0.058,1.3,1579,0.44
72,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",8/15/2012,56.8,0,20,4.59,0.06,1.4,1637,0.41
73,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",8/15/2012,15.9,0,10,4.53,0.05,1.1,1393,0.43
74,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",8/15/2012,0,0,10,3.58,0.06,1.8,1300,0.33
123,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",11/15/2012,8.93172267472329,1.97639400946178,10.5,4.50591704133114,0.063,1.39816156005812,1277,0.374728087285892
124,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",11/15/2012,7.82764368926794,1.38528478068949,9.9,3.74049718547454,0.065,1.73773690439908,1279,0.498514930836601
125,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",11/15/2012,8.74446698776281,1.59496126183891,18.2,3.58681639570216,0.063,1.75643225216347,1277,0.338926162548169
126,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",11/15/2012,7.46772366757764,1.38416948025784,6.2,3.55995955865456,0.062,1.74159281807775,1277,0.349340244429425
127,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",11/15/2012,4.62322061327305,2.54073602787457,13.7,3.72408467394545,0.061,1.63798638701128,1308,0.352774076833515
128,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",11/15/2012,4.51216421018392,2.19610819449601,7.6,3.74348127847983,0.061,1.62949926718403,1303,0.361161634673012
129,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",11/15/2012,3.62857676954784,1.14326458702235,9.8,3.67037099985025,0.061,1.66195733353628,1290,0.345737535021856
130,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",11/15/2012,3.82637065534161,1.12318917925272,12.3,3.75392560399834,0.061,1.62496560760363,1290,0.395837712720869
131,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",11/15/2012,2.69554085746332,0.595652075084246,7.9,3.43313560592978,0.059,1.71854557385074,1688,0.293329371608618
132,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",11/15/2012,2.36804606295233,0.595652075084246,4.2,3.41821514090334,0.059,1.72604700312714,1696,0.309597856277174
133,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",11/15/2012,2.47018552856715,0.595652075084246,2.5,3.43761174543771,0.058,1.68721787959259,1573,0.269067375442017
134,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",11/15/2012,2.27725542685028,1.24698752716541,-0.1,3.36599351331078,0.058,1.72311680847392,1592,0.256176430843057
195,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",2/6/2013,2.04863533477319,0.930855679510114,50,5.21,0.102,1.95777351247601,1152,0.4188
196,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/6/2013,1.75616604164446,0,50,3.85,0.066,1.71428571428571,1289,0.48707
197,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",2/6/2013,2.11362851102402,1.10929158536224,50,4.82,0.102,2.11618257261411,1149,0.4413
198,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/6/2013,1.72436087028768,0,30,3.82,0.066,1.72774869109948,1279,0.464
199,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",2/6/2013,0.918860334838584,0,40,4.43,0.072,1.62528216704289,1338,0.39
200,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/6/2013,0.918860334838584,0,40,4.19,0.062,1.47971360381862,1328,0.433
201,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",2/6/2013,0.918860334838584,0,50,3.5,0.06,1.71428571428571,1306,0.397
202,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/6/2013,0.918860334838584,0,40,4.26,0.058,1.36150234741784,1326,0.408
203,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",2/6/2013,1.91795756550291,0.563859844778783,60,5.25,0.15,2.85714285714286,1407,0.626
204,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/6/2013,2.08735467381624,0.638524514603433,60,5.29,0.147,2.77882797731569,1446,0.643
205,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",2/6/2013,1.684950114476,0,30,5.89,0.164,2.78438030560272,1164,0.663
206,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",2/6/2013,0.918860334838584,0,20,3.53,0.064,1.81303116147309,1641,0.372
207,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",5/8/2013,4.29074765522403,5.20809909175327,30,4.18,0.078,1.86602870813397,1203,0.34
208,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",5/8/2013,1.71197342928023,1.26115515127622,20,4.38,0.081,1.84931506849315,1212,0.38
209,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",5/8/2013,3.09205786694082,1.86281511593242,20,4.13,0.08,1.93704600484262,1208,0.38
210,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",5/8/2013,2.33889879642658,1.52173803846292,10,4.04,0.076,1.88118811881188,1216,0.39
211,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",5/8/2013,4.29393001749381,1.14791756155635,10,4.45,0.068,1.52808988764045,1383,0.5
212,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",5/8/2013,1.04049499035698,0.257024235206018,20,3.74,0.063,1.68449197860963,1355,0.5
213,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",5/8/2013,1.95489374920665,0.90234206577831,0,5.38,0.065,1.20817843866171,1420,0.45
214,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",5/8/2013,1.04049499035698,0.257024235206018,0,5.13,0.062,1.20857699805068,1352,0.47
215,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",5/8/2013,2.90748085529367,0.257024235206018,0,4.05,0.097,2.39506172839506,1267,0.35
216,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",5/8/2013,1.04049499035698,0.257024235206018,10,4.96,0.088,1.7741935483871,1495,0.84
217,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",5/8/2013,1.04049499035698,0.257024235206018,0,5.87,0.089,1.51618398637138,1371,0.41
218,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",5/8/2013,1.04049499035698,0.257024235206018,10,3.96,0.072,1.81818181818182,1385,0.52
219,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",8/5/2013,4.55151509873771,1.62063675812437,50,4.36722549821606,0.073,1.67154180680204,1466,0.28
220,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",8/5/2013,2.16408986835431,0.993389485654215,40,4.35100051256914,0.071,1.63180858735584,1563,0.55
221,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",8/5/2013,4.71309355250769,1.65510089397438,40,4.41737545385197,0.077,1.74311649087595,1446,0.32
222,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",8/5/2013,2.38367084399044,0.419906265110068,30,3.91440089879768,0.07,1.78826854504097,1216,0.4
223,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",8/5/2013,17.2478528315098,1.13124602905425,30,4.51177537034309,0.06,1.32985344071856,1486,0.34
224,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",8/5/2013,2.42820849470909,0.419906265110068,30,3.68577610104574,0.066,1.79066764205439,1597,0.37
225,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",8/5/2013,5.24340232385532,1.37249498000431,20,4.43065044210853,0.059,1.33163292322204,1466,0.3
226,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",8/5/2013,1.19565490505346,0.419906265110068,20,3.74920104493821,0.065,1.7337027068142,1604,0.29
227,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",8/5/2013,4.35782810607753,0.419906265110068,30,4.05157577744885,0.08,1.97454038612042,1655,0.31
228,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",8/5/2013,4.40754455339138,0.419906265110068,30,4.54717533902727,0.082,1.80331730989598,1655,0.42
229,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",8/5/2013,6.13519109754734,0.419906265110068,20,5.0811248666802,0.072,1.41700906569222,1539,0.34
230,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",8/5/2013,1.19565490505346,0.419906265110068,10,3.75952603580443,0.074,1.96833322326404,1590,0.37
231,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",11/6/2013,8.865508937942,1.50978793036908,150,3.48691583946136,0.068,1.9501474406249,1574,0.362937826465617
232,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",11/6/2013,7.07474618702572,1.57653942453877,120,4.19110039705048,0.071,1.69406583650362,1592,0.420769644729948
233,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",11/6/2013,9.98557402933908,2.22362023536743,30,3.98571323442032,0.069,1.73118325232536,1621,0.386909564606273
234,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",11/6/2013,8.08175081581813,2.14733281345921,60,3.65524065695525,0.069,1.88770060512173,1576,0.435572193031803
235,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",11/6/2013,6.97414153809784,0.462198154522265,80,3.84672944015931,0.065,1.68974712183834,1612,0.357244538657212
236,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",11/6/2013,6.22775085700432,0.652916709292816,60,4.10307732735184,0.066,1.60854877289376,1614,0.463738985347073
237,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",11/6/2013,7.48962059641403,0.558919707298759,90,3.60119140363153,0.067,1.86049538862154,1611,0.401472395526721
238,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",11/6/2013,7.49153687544123,0.568455635037286,90,3.53787656402373,0.065,1.83726025551535,1615,0.361499522177178
239,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",11/6/2013,3.9684578839382,3.85305078533964E-02,80,3.71237843904034,0.079,2.12801580704207,1620,0.310080143865472
240,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",11/6/2013,2.92408581411543,3.85305078533964E-02,40,3.5888372885861,0.077,2.14554168406826,1624,0.293839291275178
241,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, epi, lower",11/6/2013,3.52962998670992,3.85305078533964E-02,50,3.73399814036983,0.075,2.00857089855357,1579,0.340224604577346
242,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",11/6/2013,3.37920208307489,3.85305078533964E-02,50,3.55331920783051,0.075,2.11070257450333,1575,0.309301062375901
243,Can1A,"Canyon Lake, upper",SRP,"Canyon, epi, upper",2/5/2014,1.82464067814663,1.45806349295589,0,4.01911367699385,0.067,1.66703421163528,1535,0.528961964706518
244,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/5/2014,1.82464067814663,1.45806349295589,10,4.48771740100078,0.068,1.51524692675247,1568,0.535497672826506
245,Can2A,"Canyon Lake, lower",SRP,"Canyon, epi, lower",2/5/2014,1.82464067814663,1.45806349295589,60,4.10499924698869,0.068,1.65651674722919,1539,0.51737593667563
246,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/5/2014,1.82464067814663,1.45806349295589,20,3.97240398103175,0.067,1.68663611052465,1531,0.521435997780471
247,APA1A,"Apache Lake, upper",SRP,"Apache, epi, upper",2/5/2014,1.82464067814663,1.45806349295589,10,4.0281542633091,0.062,1.53916647544346,1595,0.426668230040644
248,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/5/2014,1.82464067814663,1.45806349295589,10,3.72981491490597,0.06,1.60865891120264,1588,0.395871181172216
249,APA2A,"Apache Lake, lower",SRP,"Apache, epi, lower",2/5/2014,1.82464067814663,1.45806349295589,0,3.70419992034611,0.055,1.48480106858976,1585,0.425677971234585
250,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/5/2014,1.82464067814663,1.45806349295589,0,4.05527602225484,0.061,1.50421326847395,1597,0.450335415505449
251,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, epi, upper",2/5/2014,2.64356735222516,1.45806349295589,0,3.8337816575313,0.07,1.82587341306952,1669,0.349329017287452
252,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/5/2014,2.7132867852886,1.45806349295589,0,4.1923915813694,0.074,1.76510229456736,1680,0.492421414762948
